destination,airport_name,state,region,delayed_time,pct_greater,total_flights
ABE,Lehigh Valley International,Pennsylvania,Northeast,40.09935897435897,0.20448717948717948,5012
ABI,Abilene Regional,Texas,South,27.30292792792793,0.11711711711711711,2272
ABQ,Albuquerque International Sunport,New Mexico,West,32.23554480534439,0.14293941488136375,23736
ABR,Aberdeen Regional,South Dakota,Midwest,76.12751677852349,0.2348993288590604,751
ABY,Southwest Georgia Regional,Georgia,South,40.63907284768212,0.1986754966887417,1005
ACK,Nantucket Memorial,Massachusetts,Northeast,73.41666666666667,0.3649425287356322,1195
ACT,Waco Regional,Texas,South,26.901234567901234,0.10802469135802469,1799
ACV,California Redwood Coast Humboldt County,California,West,69.51289833080425,0.3171471927162367,2015
ACY,Atlantic City International,New Jersey,Northeast,45.42404371584699,0.24043715846994534,3113
ADK,Adak,Alaska,West,43.0,0.2,104
ADQ,Kodiak Airport,Alaska,West,19.727272727272727,0.06060606060606061,641
AEX,Alexandria International,Louisiana,South,36.62692307692308,0.17307692307692307,3272
AGS,Augusta Regional at Bush Field,Georgia,South,36.61685552407932,0.18555240793201133,4768
AKN,King Salmon Airport,Alaska,West,6.928571428571429,,61
ALB,Albany International,New York,Northeast,38.706876591803656,0.19055336883537857,12567
ALO,Waterloo Regional,Iowa,Midwest,35.464285714285715,0.17207792207792208,700
AMA,Rick Husband Amarillo International,Texas,South,39.8710182767624,0.19321148825065274,5209
ANC,Ted Stevens Anchorage International,Alaska,West,26.24707240639947,0.0925284512617516,18990
APN,Alpena County Regional,Michigan,Midwest,70.62595419847328,0.2748091603053435,628
ART,Watertown International,New York,Northeast,50.18072289156626,0.25301204819277107,244
ASE,Aspen Pitkin County Sardy Field,Colorado,West,60.20929308975377,0.26449563145353455,6584
ATL,Hartsfield-Jackson Atlanta International,Georgia,South,38.69803203746376,0.1689585965955549,393049
ATW,Appleton International,Wisconsin,Midwest,46.71473354231975,0.2170846394984326,4335
ATY,Watertown Regional,South Dakota,Midwest,54.27536231884058,0.2608695652173913,522
